# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-H2 17:massf[1]-O2 18:massf[2]-H2O 19:massf[3]-HO2 20:massf[4]-OH 21:massf[5]-O 22:massf[6]-H 23:massf[7]-N2 24:dt_chem 25:u 26:T 27:M_local
-8.120235059204766043e-03 4.707073466565661282e-05 0.000000000000000000e+00 4.050055104174658812e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.110508889959554615e-03 4.694963241970095215e-05 0.000000000000000000e+00 4.547654881652890353e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.099555931735150441e-03 4.681397243175485781e-05 0.000000000000000000e+00 5.082181571520156691e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.087275308516777769e-03 4.666251739337146115e-05 0.000000000000000000e+00 5.649383968957192209e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.073573492633896037e-03 4.649412096389166652e-05 0.000000000000000000e+00 6.242758262168214347e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.058369482516612725e-03 4.630779051669567809e-05 0.000000000000000000e+00 6.853299350017538580e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.041600741824552617e-03 4.610275913849041845e-05 0.000000000000000000e+00 7.469385748213003931e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.023229662579388702e-03 4.587856401122695382e-05 0.000000000000000000e+00 8.076860533405222350e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-8.003250168670886233e-03 4.563512653485791504e-05 0.000000000000000000e+00 8.659365528887255043e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
-7.981693927327193974e-03 4.537282774772284806e-05 0.000000000000000000e+00 9.198966957639496307e-14 2.453444318440336364e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.959592105263158373e+03 5.324382816221778967e+02 1.782988942479890192e-05 4.438281093025176621e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.118983440723652079e-01 8.881016559276347921e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 -2.169966722362274886e+05 2.920000000000000000e+02 0.000000000000000000e+00
